72,116,7.2,11.6
69,108,6.9,10.8
68,100,6.8,10.0
66,137,6.6,13.7
66,138,6.6,13.8
65,139,6.5,13.9
64,140,6.4,14.0
64,107,6.4,10.7
64,140,6.4,14.0
64,138,6.4,13.8
63,136,6.3,13.6
64,136,6.4,13.6
64,133,6.4,13.3
64,132,6.4,13.2
65,130,6.5,13.0
65,128,6.5,12.8
68,134,6.8,13.4
73,144,7.3,14.4
77,154,7.7,15.4
78,160,7.8,16.0
80,165,8.0,16.5
79,164,7.9,16.4
75,154,7.5,15.4
68,150,6.8,15.0
59,143,5.9,14.3
54,141,5.4,14.1
50,141,5.0,14.1
48,143,4.8,14.3
48,142,4.8,14.2
51,141,5.1,14.1
51,143,5.1,14.3
50,144,5.0,14.4
52,147,5.2,14.7
55,149,5.5,14.9
55,164,5.5,16.4
49,177,4.9,17.7
52,196,5.2,19.6
67,214,6.7,21.4
108,197,10.8,19.7
118,104,11.8,10.4
118,99,11.8,9.9
110,101,11.0,10.1
107,98,10.7,9.8
107,135,10.7,13.5
104,138,10.4,13.8
102,142,10.2,14.2
98,147,9.8,14.7
96,162,9.6,16.2
97,169,9.7,16.9
96,209,9.6,20.9
77,221,7.7,22.1
79,177,7.9,17.7
80,142,8.0,14.2
78,121,7.8,12.1
79,135,7.9,13.5
80,130,8.0,13.0
84,136,8.4,13.6
95,156,9.5,15.6
96,172,9.6,17.2
54,220,5.4,22.0
40,206,4.0,20.6
24,201,2.4,20.1
19,199,1.9,19.9
15,198,1.5,19.8
11,194,1.1,19.4
10,125,1.0,12.5
160,39,16.0,3.9
215,58,21.5,5.8
247,49,24.7,4.9
242,34,24.2,3.4
201,46,20.1,4.6
211,51,21.1,5.1
221,65,22.1,6.5
214,77,21.4,7.7
208,80,20.8,8.0
198,80,19.8,8.0
188,80,18.8,8.0
181,79,18.1,7.9
180,75,18.0,7.5
182,72,18.2,7.2
184,70,18.4,7.0
187,66,18.7,6.6
196,61,19.6,6.1
199,63,19.9,6.3
194,66,19.4,6.6
195,59,19.5,5.9
204,40,20.4,4.0
241,18,24.1,1.8
283,28,28.3,2.8
282,21,28.2,2.1
171,30,17.1,3.0
184,36,18.4,3.6
189,42,18.9,4.2
189,44,18.9,4.4
189,43,18.9,4.3
188,42,18.8,4.2
185,48,18.5,4.8
185,45,18.5,4.5
185,42,18.5,4.2
182,35,18.2,3.5
146,76,14.6,7.6
140,72,14.0,7.2
138,72,13.8,7.2
149,95,14.9,9.5
157,69,15.7,6.9
164,24,16.4,2.4
162,63,16.2,6.3
166,71,16.6,7.1
172,87,17.2,8.7
179,60,17.9,6.0
184,91,18.4,9.1
189,96,18.9,9.6
187,72,18.7,7.2
183,90,18.3,9.0
175,116,17.5,11.6
171,123,17.1,12.3
160,97,16.0,9.7
140,119,14.0,11.9
135,85,13.5,8.5
129,88,12.9,8.8
117,104,11.7,10.4
113,109,11.3,10.9
104,107,10.4,10.7
104,100,10.4,10.0
109,92,10.9,9.2
109,90,10.9,9.0
109,92,10.9,9.2
110,93,11.0,9.3
111,93,11.1,9.3
114,87,11.4,8.7
117,83,11.7,8.3
121,80,12.1,8.0
127,80,12.7,8.0
128,77,12.8,7.7
129,77,12.9,7.7
134,78,13.4,7.8
138,78,13.8,7.8
138,77,13.8,7.7
139,77,13.9,7.7
137,76,13.7,7.6
130,76,13.0,7.6
130,68,13.0,6.8
132,62,13.2,6.2
139,60,13.9,6.0
144,60,14.4,6.0
151,59,15.1,5.9
160,58,16.0,5.8
169,59,16.9,5.9
177,59,17.7,5.9
183,63,18.3,6.3
183,62,18.3,6.2
188,65,18.8,6.5
190,61,19.0,6.1
192,60,19.2,6.0
199,57,19.9,5.7
202,54,20.2,5.4
206,54,20.6,5.4
206,49,20.6,4.9
200,44,20.0,4.4
194,40,19.4,4.0
183,38,18.3,3.8
181,39,18.1,3.9
179,38,17.9,3.8
177,37,17.7,3.7
173,31,17.3,3.1
176,30,17.6,3.0
181,29,18.1,2.9
188,31,18.8,3.1
194,33,19.4,3.3
197,35,19.7,3.5
199,32,19.9,3.2
204,29,20.4,2.9
216,28,21.6,2.8
231,30,23.1,3.0
245,34,24.5,3.4
262,39,26.2,3.9
273,41,27.3,4.1
283,41,28.3,4.1
291,40,29.1,4.0
297,40,29.7,4.0
298,39,29.8,3.9
298,40,29.8,4.0
294,48,29.4,4.8
282,50,28.2,5.0
278,40,27.8,4.0
276,29,27.6,2.9
261,101,26.1,10.1
254,109,25.4,10.9
241,84,24.1,8.4
235,44,23.5,4.4
288,58,28.8,5.8
302,97,30.2,9.7
266,206,26.6,20.6
259,190,25.9,19.0
252,136,25.2,13.6
240,113,24.0,11.3
240,102,24.0,10.2
246,85,24.6,8.5
252,69,25.2,6.9
254,56,25.4,5.6
257,40,25.7,4.0
255,26,25.5,2.6
249,16,24.9,1.6
115,41,11.5,4.1
125,110,12.5,11.0
140,120,14.0,12.0
143,176,14.3,17.6
139,195,13.9,19.5
131,173,13.1,17.3
130,151,13.0,15.1
132,129,13.2,12.9
129,116,12.9,11.6
155,88,15.5,8.8
163,85,16.3,8.5
175,82,17.5,8.2
187,85,18.7,8.5
195,94,19.5,9.4
197,99,19.7,9.9
201,101,20.1,10.1
209,97,20.9,9.7
223,74,22.3,7.4
231,66,23.1,6.6
243,58,24.3,5.8
241,58,24.1,5.8
243,67,24.3,6.7
251,73,25.1,7.3
256,76,25.6,7.6
261,74,26.1,7.4
281,54,28.1,5.4
247,68,24.7,6.8
226,187,22.6,18.7
236,209,23.6,20.9
217,198,21.7,19.8
221,195,22.1,19.5
220,182,22.0,18.2
203,176,20.3,17.6
172,170,17.2,17.0
157,166,15.7,16.6
178,155,17.8,15.5
179,132,17.9,13.2
177,140,17.7,14.0
191,154,19.1,15.4
225,170,22.5,17.0
222,162,22.2,16.2
219,165,21.9,16.5
223,160,22.3,16.0
229,154,22.9,15.4
235,139,23.5,13.9
250,124,25.0,12.4
256,133,25.6,13.3
253,184,25.3,18.4
256,203,25.6,20.3
262,215,26.2,21.5
273,217,27.3,21.7
294,224,29.4,22.4
299,192,29.9,19.2
272,188,27.2,18.8
226,187,22.6,18.7
171,200,17.1,20.0
73,216,7.3,21.6
246,196,24.6,19.6
276,180,27.6,18.0
305,108,30.5,10.8
274,154,27.4,15.4
251,211,25.1,21.1
243,232,24.3,23.2
253,229,25.3,22.9
254,228,25.4,22.8
254,226,25.4,22.6
256,218,25.6,21.8
263,199,26.3,19.9
282,156,28.2,15.6
276,100,27.6,10.0
232,64,23.2,6.4
206,37,20.6,3.7
206,25,20.6,2.5
194,24,19.4,2.4
199,54,19.9,5.4
208,68,20.8,6.8
217,73,21.7,7.3
218,91,21.8,9.1
228,94,22.8,9.4
257,79,25.7,7.9
161,114,16.1,11.4
273,60,27.3,6.0
207,71,20.7,7.1
199,64,19.9,6.4
193,52,19.3,5.2
197,39,19.7,3.9
205,34,20.5,3.4
105,140,10.5,14.0
115,172,11.5,17.2
91,135,9.1,13.5
61,143,6.1,14.3
66,180,6.6,18.0
88,194,8.8,19.4
130,162,13.0,16.2
148,154,14.8,15.4
132,152,13.2,15.2
211,141,21.1,14.1
195,182,19.5,18.2
180,62,18.0,6.2
88,120,8.8,12.0
64,120,6.4,12.0
51,120,5.1,12.0
63,138,6.3,13.8
57,151,5.7,15.1
72,166,7.2,16.6
70,141,7.0,14.1
43,22,4.3,2.2
199,187,19.9,18.7
138,171,13.8,17.1
95,148,9.5,14.8
88,139,8.8,13.9
84,116,8.4,11.6
85,113,8.5,11.3
89,110,8.9,11.0
92,113,9.2,11.3
96,131,9.6,13.1
120,152,12.0,15.2
134,186,13.4,18.6
255,213,25.5,21.3
240,190,24.0,19.0
192,194,19.2,19.4
165,198,16.5,19.8
154,202,15.4,20.2
164,185,16.4,18.5
184,176,18.4,17.6
174,194,17.4,19.4
180,193,18.0,19.3
154,172,15.4,17.2
157,192,15.7,19.2
163,183,16.3,18.3
156,152,15.6,15.2
147,138,14.7,13.8
144,136,14.4,13.6
154,143,15.4,14.3
209,151,20.9,15.1
248,121,24.8,12.1
248,121,24.8,12.1
248,121,24.8,12.1
251,119,25.1,11.9
257,120,25.7,12.0
257,137,25.7,13.7
263,138,26.3,13.8
295,136,29.5,13.6
226,118,22.6,11.8
245,120,24.5,12.0
258,120,25.8,12.0
204,120,20.4,12.0
102,120,10.2,12.0
112,120,11.2,12.0
51,33,5.1,3.3
42,50,4.2,5.0
190,120,19.0,12.0
169,120,16.9,12.0
82,125,8.2,12.5
86,120,8.6,12.0
57,118,5.7,11.8
306,215,30.6,21.5
306,160,30.6,16.0
302,142,30.2,14.2
293,131,29.3,13.1
286,72,28.6,7.2
214,85,21.4,8.5
50,175,5.0,17.5
88,120,8.8,12.0
108,120,10.8,12.0
125,120,12.5,12.0
178,120,17.8,12.0
200,120,20.0,12.0
218,120,21.8,12.0
194,147,19.4,14.7
129,120,12.9,12.0
111,120,11.1,12.0
112,120,11.2,12.0
124,120,12.4,12.0
122,120,12.2,12.0
241,177,24.1,17.7
194,130,19.4,13.0
198,120,19.8,12.0
225,120,22.5,12.0
244,120,24.4,12.0
252,120,25.2,12.0
260,130,26.0,13.0
263,140,26.3,14.0
258,145,25.8,14.5
259,146,25.9,14.6
260,149,26.0,14.9
263,151,26.3,15.1
